Match Number,Winner ID,Loser ID
0,1,20
1,19,2
2,18,3
3,4,17
4,5,16
5,15,6
6,14,7
7,13,8
8,12,9
9,11,10
10,1,19
11,18,20
12,2,17
13,16,3
14,4,15
15,5,14
16,13,6
17,7,12
18,11,8
19,10,9
20,18,1
21,19,17
22,20,16
23,2,15
24,3,14
25,13,4
26,12,5
27,11,6
28,10,7
29,9,8
30,1,17
31,16,18
32,15,19
33,14,20
34,2,13
35,12,3
36,11,4
37,5,10
38,6,9
39,7,8
40,16,1
41,15,17
42,18,14
43,19,13
44,12,20
45,2,11
46,3,10
47,9,4
48,5,8
49,6,7
50,15,1
51,14,16
52,13,17
53,12,18
54,19,11
55,10,20
56,2,9
57,3,8
58,7,4
59,5,6
60,1,14
61,13,15
62,16,12
63,11,17
64,10,18
65,9,19
66,8,20
67,7,2
68,3,6
69,5,4
70,1,13
71,12,14
72,11,15
73,16,10
74,9,17
75,8,18
76,19,7
77,6,20
78,2,5
79,4,3
80,12,1
81,13,11
82,14,10
83,15,9
84,16,8
85,7,17
86,18,6
87,19,5
88,20,4
89,2,3
90,1,11
91,12,10
92,13,9
93,8,14
94,15,7
95,6,16
96,17,5
97,18,4
98,3,19
99,20,2
100,10,1
101,9,11
102,12,8
103,7,13
104,14,6
105,15,5
106,16,4
107,17,3
108,2,18
109,19,20
110,1,9
111,10,8
112,7,11
113,12,6
114,13,5
115,14,4
116,15,3
117,16,2
118,17,20
119,19,18
120,1,8
121,9,7
122,10,6
123,5,11
124,4,12
125,3,13
126,14,2
127,15,20
128,16,19
129,17,18
130,7,1
131,6,8
132,9,5
133,10,4
134,3,11
135,12,2
136,13,20
137,14,19
138,15,18
139,17,16
140,1,6
141,7,5
142,4,8
143,3,9
144,2,10
145,11,20
146,19,12
147,18,13
148,14,17
149,15,16
150,1,5
151,6,4
152,3,7
153,8,2
154,20,9
155,19,10
156,18,11
157,17,12
158,16,13
159,14,15
160,1,4
161,5,3
162,2,6
163,7,20
164,19,8
165,9,18
166,17,10
167,16,11
168,15,12
169,14,13
170,1,3
171,4,2
172,20,5
173,6,19
174,18,7
175,17,8
176,9,16
177,15,10
178,14,11
179,13,12
180,2,1
181,20,3
182,19,4
183,5,18
184,6,17
185,7,16
186,8,15
187,14,9
188,13,10
189,11,12
190,17,18
191,12,13
192,2,6
193,3,1
194,9,5
195,11,8
196,10,16
197,4,19
198,7,20
199,15,14
